id,x,y,pwd,pd,ward,zipcode
101002326663,-7909845.76,5213953.24,1C,A1,3,02210
101002719944,-7905080.32,5218775.94,09,A7,1,02128
101002634798,-7911797.99,5205822.72,03,C11,17,02124
101002330594,-7911025.16,5212639.85,1C,D4,3,02118
101002380123,-7910868.90,5217188.64,1A,A15,2,02129
101002406619,-7919019.91,5215513.73,04,D14,22,02135
101002357535,-7911184.45,5212393.19,1C,D4,3,02118
101002744722,-7917284.46,5200248.56,08,E18,18,02136
101002729470,-7907630.52,5211519.46,05,C6,6,02127
101002392014,-7919740.67,5198410.32,08,E18,18,02136
101002588106,-7909171.72,5214935.44,1C,A1,3,02110
101002499112,-7912137.17,5212296.53,1C,D4,9,02118
101002473971,-7910408.72,5208678.20,03,C11,13,02125
101002416409,-7911530.70,5214611.68,1B,A1,5,02108
101002462544,-7912623.52,5209937.55,10B,B2,12,02119
101002670799,-7922323.26,5213173.17,04,D14,22,02135
101002414646,-7911528.59,5212603.82,1C,D4,3,02118
101002731834,-7908065.43,5211486.35,05,C6,6,02127
101002323979,-7916569.16,5204116.17,02,E18,19,02131
101002713522,-7913173.91,5203785.12,07,B3,14,02124
101002558047,-7919962.18,5205678.25,06,E5,20,02467
101002710709,-7912976.87,5207073.49,03,B2,14,02121
101002714595,-7911007.62,5207287.23,03,C11,15,02125
101002344486,-7918005.35,5198177.03,08,E18,18,02136
101002686428,-7922643.08,5213751.57,04,D14,22,02135
101002759305,-7909962.33,5205308.00,07,C11,16,02122
101002559937,-7911028.91,5215376.76,1B,A1,3,02114
101002642107,-7910681.46,5205011.53,07,C11,16,02124
101002374051,-7914341.65,5201895.39,07,B3,18,02126
101002470868,-7922012.70,5203723.44,06,E5,20,02132
101002412175,-7914672.26,5208625.51,10B,E13,11,02119
101002375450,-7911264.76,5215202.22,1B,A1,5,02114
101002408758,-7910768.04,5217988.54,1A,A15,2,02129
101002415451,-7915672.38,5211894.08,10A,B2,4,02215
101002366904,-7915703.60,5204311.66,02,E18,19,02131
101002329253,-7912144.67,5211582.50,1C,D4,8,02118
101002597486,-7910851.76,5213852.47,1C,A1,3,02116
101002763456,-7909267.68,5212033.02,05,C6,6,02127
101002653439,-7912361.01,5212876.32,1C,D4,4,02116
101002610330,-7916047.07,5201158.26,08,E18,18,02136
