id,x,y,pwd,pd,ward,zipcode
101003956502,-7912788.73,5212786.07,1C,D4,4,02115
101004006127,-7920652.35,5214668.94,04,D14,22,02135
101004087791,-7908218.15,5217648.53,09,A7,1,02128
101003877684,-7916634.95,5203801.00,02,E18,18,
101003952693,-7921304.69,5212111.35,04,D14,22,02135
101003663372,-7913438.85,5205541.28,07,B3,14,02124
101003953612,-7917746.92,5203433.03,06,E5,19,02131
101003745577,-7913566.86,5207272.18,10B,B2,12,02121
101003668018,-7913339.76,5212386.95,10A,D4,4,02115
101003981641,-7906771.89,5218202.19,09,A7,1,02128
101004066669,-7910170.49,5215103.53,1B,A1,3,02108
101003774604,-7909613.88,5214638.80,1C,A1,3,02110
101003745326,-7909108.39,5211415.57,05,C6,7,02127
101003779810,-7914665.83,5204585.65,02,B3,14,02124
101003585542,-7910927.30,5215068.05,1B,A1,3,
101003584679,-7911387.99,5214611.83,1B,A1,5,02108
101003618301,-7911777.96,5204147.76,07,B3,17,02124
101003723150,-7908948.04,5211250.65,05,C6,7,
101004064773,-7912592.17,5203898.23,07,B3,17,
101003694569,-7913044.77,5206983.17,03,B2,14,02121
101004086847,-7911656.61,5206712.23,03,C11,15,02121
101003830007,-7910746.44,5201551.89,07,C11,17,
101003971472,-7910921.90,5208420.76,03,C11,13,02125
101003705650,-7920499.86,5201207.91,06,E5,20,02132
101003733986,-7912225.01,5209417.63,03,B2,8,02119
101003584512,-7921908.05,5203758.05,06,E5,20,02132
101003792970,-7909741.91,5212052.60,05,C6,6,02127
101003952164,-7919667.19,5202805.61,06,E5,20,02132
101003917516,-7912155.35,5213067.62,1C,D4,4,02116
101003855114,-7912925.44,5207492.85,10B,B2,12,02121
101003668129,-7910408.72,5208678.20,03,C11,13,02125
101003832993,-7912990.22,5207339.92,10B,B2,12,02121
101003611543,-7905326.96,5218220.27,09,A7,1,02128
101003657028,-7910866.25,5204180.86,07,C11,16,02124
101003650579,-7916382.72,5208350.32,02,E13,19,
101004103322,-7907415.32,5215806.35,09,A7,1,02128
101003929906,-7909516.92,5217293.66,1A,A15,2,02129
101003729251,-7910570.13,5208961.23,03,C11,7,02125
101003610387,-7911533.05,5204937.80,07,C11,17,02124
101003579453,-7919209.16,5198411.99,08,E18,18,
101003606294,-7911253.64,5202334.68,07,C11,17,02124
101003770832,-7920296.13,5213944.98,04,D14,22,02135
101003912168,-7912109.45,5212433.18,1C,D4,4,02118
101003977751,-7914820.32,5208633.04,10B,E13,11,02119
101003929182,-7914589.94,5213145.59,10A,D4,5,02215
101003680539,-7909255.44,5210716.85,05,C6,7,02127
101003791002,-7916367.66,5209557.45,02,E13,10,02130
101003888152,-7911357.17,5203773.08,07,C11,17,02124
101003925281,-7909158.59,5211008.98,05,C6,7,02127
101004003163,-7913601.73,5213089.20,10A,D4,4,
101003764618,-7913368.21,5210202.75,10B,B2,12,
101004086488,-7916926.16,5202745.43,08,E18,18,02131
101003941899,-7911374.05,5210826.36,1C,C6,8,
101003662506,-7914933.70,5212309.79,10A,D4,21,
101003751161,-7917191.66,5207343.96,02,E13,19,
101003879678,-7912904.51,5205577.40,03,B3,14,02121
101003859948,-7921174.44,5214384.23,04,D14,22,02135
101004043505,-7911398.36,5205222.22,07,C11,17,02124
101003890901,-7913312.49,5205257.58,03,B3,14,02124
101003722675,-7915336.84,5209881.17,10A,E13,10,02130
101003659673,-7913720.92,5209400.12,10B,B2,12,02119
101003685829,-7910807.24,5207720.75,03,C11,15,02125
101003973098,-7911263.64,5213582.85,1C,A1,5,02116
101004019605,-7912224.35,5205517.20,03,B3,17,02124
101003900069,-7910156.24,5210611.14,05,C6,7,02127
101003770963,-7907973.14,5217573.03,09,A7,1,02128
101003579529,-7907051.31,5211557.12,05,C6,6,02127
101004007145,-7907931.16,5216031.45,09,A7,1,02128
101003682061,-7911735.66,5201708.84,07,B3,17,02126
101003730461,-7916914.16,5203752.21,02,E18,18,
101003707816,-7913980.97,5210075.40,10B,B2,11,02119
101003681735,-7910196.09,5209896.21,03,C6,7,02125
101003772538,-7911553.83,5201813.73,07,B3,17,
101004033619,-7910653.61,5215734.04,1B,A1,3,02114
