id,x,y,pd,ward,zipcode,beat,ct
0,-9758254.91,5143648.52,12,27,60607,1224,8330
1,-9756587.57,5153381.79,19,46,60613,1925,609
2,-9772397.82,5154475.34,22,38,60634,1632,1701
3,-9761650.41,5143687.94,12,27,60612,1222,8378
4,-9761444.1,5126885.32,8,17,60666,0831,6608
5,-9766513.89,5149683.14,25,13,60639,2524,2002
6,-9754102.59,5126469.03,3,6,60637,0322,
7,-9769944.22,5157765.1,16,45,60630,1623,1105.01
8,-9757712.27,5129440.12,7,16,60636,0713,6701
9,-9750520.06,5126384.17,3,5,60637,0332,4303
10,-9756288.43,5149118.83,18,43,60614,1812,
11,-9763476.07,5147590.43,14,26,60647,1421,2302
12,-9756116.61,5114105.6,22,34,60628,2233,4912
13,-9745247.3,5122744.3,4,10,60617,0424,4602
14,-9758917.23,5139027.67,12,25,60608,1235,3107
15,-9753414.82,5122263.36,6,16,60619,0632,6120
16,-9777441.4,5151860.75,16,38,60634,1631,1706
17,-9755158.12,5147681.38,18,2,,,802.01
18,-9745929.6,5123208.74,4,7,60617,0422,4601
19,-9757400.71,5139901.93,12,25,60608,1235,3104
20,-9753752.88,5131953.92,2,3,60615,0224,
21,-9757918.18,5113803.47,5,34,60643,0524,5303
22,-9751496.67,5128592.77,3,20,,0314,4203
23,-9777077.81,5152988.89,16,38,60634,1631,1705
24,-9749902.73,5125682.05,3,7,60649,,4305
25,-9770481.41,5149356.12,25,36,60639,2515,1913.02
26,-9756050.78,5137048.2,9,11,60616,0914,8401
27,-9758743.21,5160340.48,24,48,60660,,302
28,-9757977.82,5151537.65,19,44,60657,1933,629
29,-9748703.92,5126549.07,3,5,60649,0331,4301.01
30,-9759727.3,5131740.08,9,15,60609,0931,6114
31,-9758881.43,5120886.78,22,21,60620,2221,7113
32,-9756029.94,5114066.33,22,34,60628,2233,4912
33,-9770900.48,5150489.2,25,30,60639,,1906.02
34,-9765755.88,5131694.5,8,14,60632,0815,5703
35,-9752904.22,5121171.09,6,9,,0632,4407
36,-9764610.54,5125685.68,8,13,60629,0833,6504
37,-9769225.3,5146621.07,25,37,60651,2532,2507
38,-9753882.39,5143548.66,1,42,60602,0114,3201
39,-9762756.61,5160059.13,24,50,60659,2413,4503
40,-9754304.0,5114900.47,5,34,60628,0522,4913
41,-9755137.18,5126106.69,7,6,60621,0731,6903
42,-9766005.65,5137457.48,10,22,60623,1031,3018.02
43,-9764337.27,5157312.54,17,39,60625,,8318
44,-9747482.3,5119896.83,4,7,60617,1654,4805
45,-9755287.55,5147563.55,18,27,60610,,803
46,-9754807.75,5119629.9,6,21,60620,2433,8340
47,-9753155.09,5127135.46,3,20,60637,0312,4207
48,-9761055.28,5139008.69,12,25,60608,1234,8412
49,-9762025.61,5146028.54,12,26,60622,1211,2426
50,-9761698.86,5132409.15,,15,60632,0922,8428
51,-9764224.34,5157885.15,17,39,60625,1712,8318
52,-9762757.67,5129282.77,8,14,60629,,
53,-9757562.8,5152663.81,19,44,,1924,621
