id,x,y,pd,zipcode
682301,-9769455.57,5143919.14,15,60644
529255,-9759639.63,5153226.31,19,60613
1141007,-9770186.23,5157319.29,16,60630
1376913,-9760635.22,5157419.63,20,60625
1195264,-9763829.75,5157823.49,17,60625
10246,-9756260.37,5146442.68,18,60610
682211,-9769433.9,5144033.25,15,60644
1529573,-9762897.31,5130408.43,9,60632
2534285,-9761639.84,5127939.81,8,60629
667561,-9768355.37,5150466.18,25,60639
96458,-9755128.79,5143501.11,1,60602
991069,-9754484.73,5140638.75,1,60605
126730,-9759122.16,5145783.45,12,60622
2534300,-9761457.28,5127884.72,8,60629
1412855,-9757971.01,5159583.31,24,
238761,-9763670.8,5149159.26,14,60647
2135572,-9752366.61,5120072.16,6,60619
1871367,-9764109.56,5128981.39,8,60629
2403216,-9762832.9,5116566.59,22,60655
1970196,-9758483.0,5124398.42,6,60620
1268709,-9768638.18,5159338.16,16,60646
1985939,-9756031.38,5119742.68,22,60620
1069702,-9765404.83,5152956.28,17,60618
742475,-9761206.15,5143036.14,11,60612
2500866,-9773680.42,5128978.48,8,60638
2422038,-9762479.15,5125346.65,8,60629
856868,-9756378.85,5141465.75,1,60607
477687,-9764725.04,5150512.01,25,60647
1631390,-9753971.23,5130775.46,2,60615
1825024,-9760469.74,5127596.22,18,60636
71256,-9758853.22,5146886.74,14,60642
240019,-9763783.81,5148615.05,14,60647
1843218,-9763925.9,5129717.95,8,60629
859370,-9757883.65,5140963.54,,60659
2159556,-9756277.81,5115278.86,22,60628
146868,-9759893.87,5144838.56,12,60622
924868,-9760438.5,5135392.89,9,60609
1295907,-9777265.63,5153023.55,16,60634
981927,-9754624.93,5142181.15,,60605
1787331,-9757017.56,5123879.46,6,60620
1061682,-9765114.12,5154265.63,17,60618
1306417,-9769762.39,5153590.9,16,60641
2028090,-9758588.03,5120591.52,22,60620
1987666,-9755732.08,5119779.57,22,60620
2336409,-9744380.36,5119076.06,4,60617
1569549,-9753193.83,5135091.46,2,60653
45365,-9756393.12,5148247.67,18,60614
1046184,-9761745.9,5154365.46,19,60618
590608,-9757806.48,5154887.7,19,
832413,-9759619.09,5143272.13,12,60612
2379065,-9759242.16,5115735.53,22,60643
532315,-9758998.61,5153172.67,,60608
1063465,-9765537.29,5154577.99,17,60618
350787,-9766882.91,5143900.31,11,
1192897,-9765131.12,5158418.09,17,60625
907758,-9757078.57,5134564.12,9,60609
204779,-9763146.97,5143186.72,12,60612
715691,-9773505.45,5151561.26,11,60634
2425854,-9763526.72,5122694.67,8,60652
674141,-9768879.52,5142098.39,15,60644
1867164,-9764594.02,5128829.72,8,60629
2394493,-9763243.4,5116333.02,22,60655
2319728,-9744283.39,5114354.65,4,60617
1667556,-9748686.88,5126278.55,3,60649
1196937,-9766461.01,5159404.01,17,60646
1377251,-9761220.6,5157390.93,20,60625
2094998,-9749183.97,5121431.08,4,60617
633529,-9767694.1,5142952.46,11,60644
2128114,-9745541.83,5121007.66,,60617
1404262,-9759481.98,5160144.83,24,60660
865026,-9756578.51,5139852.28,12,60616
1932122,-9751481.54,5123400.41,10,60619
2271953,-9751313.51,5110068.18,5,60827
1871380,-9763702.74,5128971.06,8,60629
