id,x,y,pd,ward,zipcode,beat,ct
1489429,-9767221.07,5131533.67,8,14,60632,0815,5604
460385,-9763523.9,5150824.25,14,33,60618,1411,2107
1745565,-9751944.97,5127226.58,3,5,60637,0321,4208
387169,-9757741.24,5149803.4,18,43,60614,1811,710
877665,-9759459.18,5139299.17,12,25,60608,1234,3108
2065663,-9747134.93,5124541.53,4,7,60649,0421,4313.02
1126668,-9768110.69,5154532.69,16,45,60641,1624,1502
454804,-9763798.36,5150575.08,14,35,60647,1412,2206.02
558000,-9757416.36,5153800.33,19,46,60613,1923,8321
2107882,-9747802.92,5121031.04,4,7,60617,0413,4804
1289359,-9778042.78,5157604.37,16,41,60656,1614,7608.01
1298699,-9763203.24,5158975.56,20,40,60659,2011,207.01
2355351,-9758492.41,5161376.02,24,49,60626,2432,105.02
523957,-9757697.12,5152717.17,19,44,60657,1924,622
860700,-9757367.55,5139781.23,12,25,60608,1235,3104
680901,-9769261.12,5143214.31,15,28,60644,1522,2519
1191278,-9765272.23,5157320.76,17,39,60625,1712,8318
1603154,-9754100.05,5131084.15,2,3,60615,0231,8361
498045,-9763789.9,5151371.03,14,35,60618,1412,2106.01
836102,-9760536.85,5141466.32,12,28,60612,1225,8382
804956,-9765713.83,5138053.54,10,22,60623,1013,3018.02
2411461,-9753327.06,5109111.92,5,9,60827,0533,5401.01
2161384,-9755258.49,5116125.71,22,34,60628,2233,4911
2057178,-9761615.49,5122974.51,8,18,60652,0835,7005.01
653129,-9770707.08,5148885.75,25,36,60639,2515,1913.02
1345516,-9775426.46,5152597.14,16,38,60634,1631,1708
1230067,-9773050.04,5157043.61,16,45,60656,1613,1007
1368464,-9761568.77,5158854.67,20,40,60659,2011,208.01
349405,-9768120.43,5143329.25,15,28,60644,1532,2518
830097,-9762205.68,5138500.2,10,12,60608,1034,3012
1302055,-9763586.34,5160380.47,24,50,60659,2413,207.02
400874,-9760050.35,5150829.06,19,32,60614,1931,707
1950700,-9748911.21,5123667.95,4,8,60617,0414,4605
1759646,-9757027.54,5125158.36,7,17,60621,0733,6814
1782168,-9754488.99,5123566.46,6,17,60620,0623,8424
2020349,-9758935.35,5122729.31,6,21,60620,0614,7112
