id,x,y,pd,ward,zipcode,beat,ct
0,-9766715.79,5142435.44,11,28,60624,1131,2605
1,-9765324.41,5148312.34,25,26,60647,2535,8312
2,-9756008.86,5152352.44,19,44,60657,1925,619.02
3,-9766008.78,5136935.42,10,22,60623,1031,3018.03
4,-9764856.8,5138983.04,10,24,60623,1014,8414
5,-9766178.49,5147520.03,25,26,60639,2534,2305
6,-9757537.8,5149095.59,18,43,60614,1811,710
7,-9770649.61,5142986.79,15,29,60644,1513,2521.01
8,-9767413.97,5132004.91,8,14,60632,0815,5604
9,-9759617.59,5139688.81,12,25,60608,1234,3109
10,-9759011.33,5138887.99,12,25,60608,1234,3108
11,-9758900.6,5164323.68,24,49,60626,2422,101
12,-9766971.47,5122009.5,8,18,60652,0834,7003.02
13,-9746158.58,5120491.17,4,10,60617,0424,4610
14,-9752981.66,5123922.54,6,6,60619,0624,6914
15,-9772417.46,5148203.77,25,29,60707,2513,2505
16,-9749832.06,5120537.42,4,8,60617,0413,4804
17,-9764755.27,5148577.65,25,26,60647,2535,2229
18,-9750330.62,5130426.55,2,5,60615,0234,4108
19,-9754262.18,5146560.1,18,2,60610,1824,812.02
20,-9776176.65,5160664.5,16,41,60631,1612,903
21,-9749447.23,5125872.25,3,7,60649,0324,4305
22,-9757031.0,5117268.31,22,34,60643,2232,7306
23,-9756747.19,5121292.41,22,21,60620,2222,7114
24,-9749867.61,5124012.18,4,8,60649,0411,8342
25,-9757062.64,5150047.09,19,43,60614,1935,703
26,-9768656.1,5143277.1,15,28,60644,1532,2518
27,-9768511.38,5146489.82,25,37,60651,2533,2508
28,-9758323.75,5157014.24,20,47,60640,2033,311
29,-9769896.54,5141702.99,15,29,60644,1522,8314
30,-9754973.4,5115643.03,5,34,60628,0513,4910
31,-9759624.2,5124324.27,6,17,60620,0611,7104
32,-9761046.82,5155892.56,19,47,60625,1911,406
33,-9769221.17,5148614.67,25,36,60639,2515,1912
34,-9764151.39,5140992.31,11,24,60624,1133,8430
35,-9768525.7,5153766.88,16,45,60641,1634,1508
36,-9763580.89,5157259.09,17,33,60625,1713,8318
37,-9753020.74,5132257.54,2,3,60615,0223,3812
38,-9758339.16,5114003.71,22,34,60643,2234,7506
39,-9745409.37,5121225.02,4,10,60617,0424,4607
40,-9764416.33,5132258.52,8,14,60632,0821,5701
41,-9756824.2,5128533.93,7,16,60621,0712,8348
42,-9767443.99,5127860.03,8,23,60638,0813,9801
43,-9753399.75,5124157.97,6,6,60619,0623,6913
44,-9758994.44,5141104.68,12,27,60612,1231,8382
45,-9745700.48,5120881.55,4,10,60617,0424,8339
46,-9758408.0,5139693.33,12,25,60608,1233,3106
47,-9757234.2,5156650.62,20,46,60640,2024,313
48,-9757937.08,5120446.12,22,21,60620,2222,7302.01
49,-9753776.01,5116017.34,5,9,60628,0513,4909.01
50,-9761126.64,5146326.32,12,1,60622,1212,2424
51,-9755541.68,5144104.81,1,42,60606,0122,8391
52,-9771101.65,5152008.71,16,30,60634,1633,1512
53,-9758155.52,5113765.73,5,34,60643,0524,5303
54,-9760604.53,5127582.5,8,16,60636,0825,6607
55,-9752562.48,5134642.57,2,4,60653,0212,3602
56,-9770599.33,5161129.55,16,41,60646,1621,1201
57,-9771288.27,5159669.59,16,39,60646,1611,1101
58,-9762113.66,5134966.71,9,12,60632,0911,5801
59,-9756534.44,5113252.68,5,34,60643,0524,5303
60,-9758129.05,5145010.67,12,1,60642,1215,2434
61,-9753954.5,5125447.81,3,6,60619,0323,6910
62,-9758737.04,5156152.85,19,46,60640,1913,317
63,-9764687.29,5153329.82,17,35,60618,1732,1608
64,-9761694.46,5126999.22,8,17,60629,0831,6608
65,-9744265.49,5118992.41,4,10,60617,0432,5201
66,-9759593.74,5128258.47,7,15,60636,0714,6706
67,-9775814.31,5161718.53,16,41,60631,1611,902
68,-9760884.74,5154634.77,19,47,60618,1911,502
69,-9746959.62,5120571.71,4,7,60617,0423,4805
70,-9758732.54,5119290.13,22,19,60643,2213,7202
71,-9757874.02,5123960.36,6,17,60620,0612,7102
72,-9770647.29,5142921.27,15,29,60644,1513,2521.01
73,-9774789.76,5153704.54,16,38,60634,1631,1704
74,-9764955.97,5147150.5,25,26,60651,2535,2307
